OG	Kingdom	Description	0505-0101	R1W5
COG0655	Bacteria	NADPH-dependent FMN reductase	386.15796621526874	497.95081968687157
COG1640	Bacteria	4-alpha-glucanotransferase	581.4835499340348	701.0525315194051
COG0561	Bacteria	Hydrolase	2158.2620870701317	2076.5356482620814
COG5434	Bacteria	Protein of unknown function (DUF3737)	663.3929039158655	1178.7623469950468
COG1168	Bacteria	Aminotransferase, class I	700.4193779950307	468.7776791730631
COG0693	Bacteria	DJ-1 family	491.2083360677971	367.84604914152675
COG3118	Bacteria	Belongs to the thioredoxin family	598.8907216357194	831.7653676681291
COG0463	Bacteria	Glycosyltransferase, group 2 family protein	1599.4564728797918	1463.3418528787495
331KM	Bacteria	TraX protein	170.93901811883555	0
COG1739	Bacteria	hmm pf01205	431.7234918804459	272.59930633976546
COG0489	Bacteria	Binds and transfers iron-sulfur (Fe-S) clusters to target apoproteins. Can hydrolyze ATP	710.1873523541587	832.2342069524706
COG0517	Bacteria	Domain in cystathionine beta-synthase and other proteins.	763.0994845811542	831.0139800012056
COG1277	Bacteria	ABC-type transport system involved in multi-copper enzyme maturation permease component	532.3847966920232	443.9527055607528
COG0667	Bacteria	aldo keto reductase	730.8383053807731	471.31357824636024
33BXM	Bacteria	-	25.03140451692232	10.016865130680975
COG3594	Bacteria	acyltransferase	160.9328048966258	364.0280168968145
COG1032	Bacteria	B12 binding domain	664.4808815426494	988.3496651265956
COG1760	Bacteria	Serine dehydratase	624.9293366419148	620.1826465187463
COG1538	Bacteria	Outer membrane efflux protein	997.7162399937826	985.6620452868275
COG0845	Bacteria	HlyD family secretion protein	1537.1151275864243	2176.562568088798
COG1129	Bacteria	AAA domain, putative AbiEii toxin, Type IV TA system	1153.5574013181572	896.364725299242
COG0842	Bacteria	Transport permease protein	715.8378270391794	324.9355744959519
COG0251	Bacteria	YjgF/chorismate_mutase-like, putative endoribonuclease	393.31314385710095	570.3114470718738
COG3616	Bacteria	Putative serine dehydratase domain	41.41322851981418	15.942637667626355
COG2355	Bacteria	Membrane dipeptidase (Peptidase family M19)	177.90941361173367	253.15917413243994
COG3533	Bacteria	Beta-L-arabinofuranosidase, GH127	210.8497556533464	305.77098479244637
COG4806	Bacteria	L-rhamnose isomerase (RhaA)	78.10482085878097	68.23556163689581
2Z7ID	Bacteria	L-rhamnose-proton symport protein (RhaT)	31.68305889010225	31.504198234029957
COG0235	Bacteria	Class II Aldolase and Adducin N-terminal domain	327.9393932802752	175.6500805560791
32QDT	Bacteria	-	25.03140451692232	0
COG1533	Bacteria	Domain of unknown function (DUF1848)	292.6022374107443	199.10587224426624
COG1864	Bacteria	DNA/RNA non-specific endonuclease	95.48366631573006	87.58532037185547
COG0841	Bacteria	Belongs to the resistance-nodulation-cell division (RND) (TC 2.A.6) family	887.2468022512564	1653.6535059099717
COG0677	Bacteria	Belongs to the UDP-glucose GDP-mannose dehydrogenase family	113.36354015607297	72.52977358093766
COG1470	Bacteria	CarboxypepD_reg-like domain	358.8094771054941	862.3250429712615
COG0044	Bacteria	Catalyzes the reversible hydrolysis of the amide bond within dihydroorotate. This metabolic intermediate is required for the biosynthesis of pyrimidine nucleotides	450.79611767190084	560.747838266547
COG0602	Bacteria	Catalyzes the complex heterocyclic radical-mediated conversion of 6-carboxy-5,6,7,8-tetrahydropterin (CPH4) to 7- carboxy-7-deazaguanine (CDG), a step common to the biosynthetic pathways of all 7-deazapurine-containing compounds	438.58063502096013	431.85306019609203
COG0720	Bacteria	6-pyruvoyl tetrahydropterin synthase	34.91051650565337	35.669139187542186
COG1215	Bacteria	Glycosyl transferase family 21	1262.9291384933363	904.8342693048297
COG1705	Bacteria	Mannosyl-glycoprotein endo-beta-N-acetylglucosaminidase	94.16345284162831	37.2854092845929
2ZQYC	Bacteria	Domain of unknown function (DUF4248)	46.174457444980725	7.532616843400655
33BWF	Bacteria	-	95.02594360911436	2.753350850565672
COG0305	Bacteria	DnaB-like helicase N terminal domain	703.7737223816371	702.6009936604252
COG3774	Bacteria	Capsular polysaccharide synthesis protein	883.7736484421771	148.69007067005367
COG3307	Bacteria	O-antigen ligase like membrane protein	162.21698251928336	247.63662734278148
COG3206	Bacteria	COG NOG36677 non supervised orthologous group	377.09000337067584	439.27508445289874
COG3534	Bacteria	Alpha-L-arabinofuranosidase C-terminal domain	292.82040651037835	346.4016148333649
COG0388	Bacteria	Carbon-nitrogen hydrolase	513.6289456087136	298.9615192930226
COG0112	Bacteria	Catalyzes the reversible interconversion of serine and glycine with tetrahydrofolate (THF) serving as the one-carbon carrier. This reaction serves as the major source of one-carbon groups required for the biosynthesis of purines, thymidylate, methionine, and other important biomolecules. Also exhibits THF- independent aldolase activity toward beta-hydroxyamino acids, producing glycine and aldehydes, via a retro-aldol mechanism	238.88047098524123	356.2763944869521
COG1413	Bacteria	Domain of Unknown Function (DUF1080)	253.25090270479004	112.57147544456356
COG1167	Bacteria	helix_turn_helix gluconate operon transcriptional repressor	500.5930513554526	602.2527625826133
COG5026	Bacteria	Hexokinase	25.03140451692232	6.540541155861316
COG1917	Bacteria	Cupin 2, conserved barrel domain protein	704.8707975945895	1175.0309803542752
COG3153	Bacteria	Putative zinc ribbon domain	109.0918546961008	156.35095568319136
COG3214	Bacteria	Winged helix DNA-binding domain	28.523531212137858	18.370408424122935
COG1961	Bacteria	Resolvase, N terminal domain	3390.3355494545026	6953.40939033257
COG2096	Bacteria	ATP cob(I)alamin adenosyltransferase	55.58533742431431	73.47595887166413
COG1387	Bacteria	Histidinol phosphatase	617.2145108876043	675.4194475193884
COG0336	Bacteria	Belongs to the RNA methyltransferase TrmD family	383.37087162660384	320.99712599182214
COG0072	Bacteria	Belongs to the phenylalanyl-tRNA synthetase beta subunit family. Type 1 subfamily	433.68706603569296	374.36775731029746
COG0217	Bacteria	transcriptional regulatory protein	425.8630940885697	284.24589936265403
316K4	Bacteria	-	25.03140451692232	2.528587573711089
30NIH	Bacteria	Protein of unknown function (DUF4621)	25.03140451692232	0
33QSM	Bacteria	6-bladed beta-propeller	26.417791931264375	3.035854008513439
COG3022	Bacteria	Belongs to the UPF0246 family	75.49760090053088	122.2458293711363
302GT	Bacteria	Domain of unknown function (DUF4858)	25.03140451692232	0
32XKH	Bacteria	Psort location Cytoplasmic, score 8.96	25.03140451692232	26.164866125592955
COG2885	Bacteria	Belongs to the ompA family	505.5860885831571	647.1828667767122
2ZB9T	Bacteria	Domain of unknown function (DUF4136)	28.997462714546767	24.73729778145271
COG3047	Bacteria	Outer membrane protein beta-barrel domain	32.80347701758614	45.54832643075696
2ZSCK	Bacteria	COG NOG27188 non supervised orthologous group	25.03140451692232	27.40686850151352
COG0724	Bacteria	Pfam:RRM_6	86.14179769454329	58.18466567861796
2ZBK8	Bacteria	-	28.599264048967516	0
COG1566	Bacteria	Barrel-sandwich domain of CusB or HlyD membrane-fusion	177.481969392738	72.01565978995674
COG0477	Bacteria	Psort location CytoplasmicMembrane, score 10.00	513.4100000833429	292.1791091548184
COG0326	Bacteria	Molecular chaperone HSP90	300.2837631585803	338.04902472392257
COG0526	Bacteria	Belongs to the thioredoxin family	633.5597474722441	715.9346055193997
COG3303	Bacteria	Catalyzes the reduction of nitrite to ammonia, consuming six electrons in the process	65.91845173483983	28.40545338473162
COG0126	Bacteria	Belongs to the phosphoglycerate kinase family	532.3398786368788	292.8645073056778
COG0291	Bacteria	Belongs to the bacterial ribosomal protein bL35 family	111.99320650998935	223.55739123338626
COG4770	Bacteria	Biotin-requiring enzyme	335.1939998786352	250.66317981025867
COG4799	Bacteria	COG4799 Acetyl-CoA carboxylase, carboxyltransferase component (subunits alpha and beta)	294.04908915182335	365.2410695981658
COG0242	Bacteria	Removes the formyl group from the N-terminal Met of newly synthesized proteins. Requires at least a dipeptide for an efficient rate of reaction. N-terminal L-methionine is a prerequisite for activity but the enzyme has broad specificity at other positions	536.9174668205874	552.3265380720616
COG1089	Bacteria	Catalyzes the conversion of GDP-D-mannose to GDP-4- dehydro-6-deoxy-D-mannose	79.58136005075393	140.46614275193738
COG1209	Bacteria	Catalyzes the formation of dTDP-glucose, from dTTP and glucose 1-phosphate, as well as its pyrophosphorolysis	320.56492868447776	466.6396742251934
COG0363	Bacteria	6-phosphogluconolactonase	452.92031387783305	422.2650801194215
COG0364	Bacteria	Catalyzes the oxidation of glucose 6-phosphate to 6- phosphogluconolactone	129.9938399915917	58.38163046055434
COG0362	Bacteria	Catalyzes the oxidative decarboxylation of 6- phosphogluconate to ribulose 5-phosphate and CO(2), with concomitant reduction of NADP to NADPH	97.6068925185173	53.46730645745259
COG0471	Bacteria	Sodium:sulfate symporter transmembrane region	257.88806939618195	336.17923525893997
COG4866	Bacteria	Uncharacterised conserved protein (DUF2156)	91.93214539778761	95.77530003278584
COG4552	Bacteria	Acetyltransferase (GNAT) domain	97.26829554574857	172.84065659640856
COG2311	Bacteria	Protein of unknown function (DUF418)	65.92961445337949	63.10731227489704
COG0784	Bacteria	His Kinase A (phosphoacceptor) domain	578.2388272193513	629.5494422889034
COG2194	Bacteria	Domain of unknown function (DUF1705)	85.87928832784704	87.88959840293839
335H5	Bacteria	-	34.174020433865174	0
COG2152	Bacteria	beta-1,4-mannooligosaccharide phosphorylase	225.34674918415652	108.0988908490479
COG1520	Bacteria	COG NOG38781 non supervised orthologous group	75.68600213736286	61.467323275780004
COG1830	Bacteria	DeoC/LacD family aldolase	132.63612938631545	58.21443365117223
COG1461	Bacteria	DAK2 domain protein	432.52608663281677	464.41400621021245
COG2376	Bacteria	Psort location Cytoplasmic, score 8.96	115.49609607231064	58.32020351121556
32SDB	Bacteria	-	43.54814591482638	25.046733941986304
COG0755	Bacteria	cytochrome c-type biogenesis protein CcsB	66.3588568997741	83.5398808637898
COG3822	Bacteria	ABC-type sugar transport system, auxiliary component	55.318559786168	11.250871807159946
COG1858	Bacteria	cytochrome c peroxidase	86.17662690734136	37.79754493119615
COG1414	Bacteria	helix_turn_helix isocitrate lyase regulation	390.20943308399586	159.91126266905806
COG0783	Bacteria	Belongs to the Dps family	96.53863595823282	28.211213032413905
343QT	Bacteria	Outer membrane protein beta-barrel domain	66.03891926190171	0
COG2801	Bacteria	Integrase core domain	3647.1222254998597	1031.8067369046396
COG2963	Bacteria	transposase activity	2942.8845429684498	401.5629382055971
COG1197	Bacteria	Couples transcription and DNA repair by recognizing RNA polymerase (RNAP) stalled at DNA lesions. Mediates ATP-dependent release of RNAP and its truncated transcript from the DNA, and recruitment of nucleotide excision repair machinery to the damaged site	610.2178013797709	594.846079167549
COG1022	Bacteria	AMP-binding enzyme	486.93274851417215	712.0954288676097
33GCT	Bacteria	Peptidase C10 family	29.591217896724775	0
31Z76	Bacteria	-	129.20445349317947	14.670472352099884
COG1757	Bacteria	Na H antiporter	467.54190694853247	799.9080621929124
318BB	Bacteria	-	35.20426139048399	6.593389921933906
COG4739	Bacteria	Uncharacterized protein containing a ferredoxin domain (DUF2148)	33.68899034003339	17.452838902048278
COG1509	Bacteria	KamA family	60.6198637925081	64.74095580096315
COG0864	Bacteria	transcriptional regulator	70.82393511518013	62.03806303519186
COG4198	Bacteria	Susd and RagB outer membrane lipoprotein	318.3834810399642	508.9579035375192
COG3189	Bacteria	Protein of unknown function, DUF488	50.36698336157564	25.65660301550572
COG1027	Bacteria	Catalyzes the formation of fumarate from aspartate	122.57622097436779	50.695954863356256
COG0133	Bacteria	The beta subunit is responsible for the synthesis of L- tryptophan from indole and L-serine	150.70016489743537	192.4621214626211
COG0147	Bacteria	Anthranilate synthase component I, N terminal region	137.781786023754	214.8136179716982
COG0512	Bacteria	Glutamine amidotransferase class-I	116.3636367812381	120.09823664339126
COG0547	Bacteria	Catalyzes the transfer of the phosphoribosyl group of 5- phosphorylribose-1-pyrophosphate (PRPP) to anthranilate to yield N-(5'-phosphoribosyl)-anthranilate (PRA)	107.00314084271116	171.73435325447946
COG0134	Bacteria	Belongs to the TrpC family	60.10341794378194	93.72074871562765
COG0135	Bacteria	Belongs to the TrpF family	71.84658781898845	111.68612744959233
COG0159	Bacteria	The alpha subunit is responsible for the aldol cleavage of indoleglycerol phosphate to indole and glyceraldehyde 3- phosphate	112.71644381736418	108.26979529048978
COG1979	Bacteria	alcohol dehydrogenase	501.41408757613095	437.12063759315885
COG1556	Bacteria	LUD domain	31.437429583824557	16.19842701276241
COG1139	Bacteria	4Fe-4S ferredoxin	76.31182750224228	99.66101495971787
COG0247	Bacteria	Fe-S oxidoreductase	114.51265227016562	106.38992924140561
COG0458	Bacteria	Carbamoyl-phosphate synthase (glutamine-hydrolyzing)	407.77968123965627	749.8082489934659
COG0505	Bacteria	Belongs to the CarA family	227.03130202217977	417.42938733563557
COG0034	Bacteria	amidophosphoribosyltransferase	373.0089870577625	477.02366993650156
33A5I	Bacteria	EpsG family	37.2877038476689	13.88686166109045
COG2327	Bacteria	slime layer polysaccharide biosynthetic process	61.199199297849106	136.7379904480507
COG1035	Bacteria	Coenzyme F420 hydrogenase/dehydrogenase, beta subunit C terminus	87.48539806131406	296.0829426141783
33RU4	Bacteria	-	74.5869606968463	0
33UVK	Bacteria	VirE N-terminal domain	53.208508163702554	14.624806345106089
2ZMNR	Bacteria	Domain of unknown function (DUF4248)	29.591217896724775	13.411218511854905
322TM	Bacteria	-	53.208508163702554	0
COG3023	Bacteria	Ami_2	220.19148479575406	187.39915504087952
COG0472	Bacteria	UDP-N-acetylmuramyl pentapeptide phosphotransferase	490.64610603383034	722.6678954813482
32T79	Bacteria	DNA-binding protein	30.07556347728727	8.470027846134906
COG0671	Bacteria	Acid phosphatase homologues	670.9617907051303	1144.9019615871368
COG2304	Bacteria	Von Willebrand factor type A domain	1078.566736316142	508.4773020666215
COG3088	Bacteria	Psort location CytoplasmicMembrane, score	58.9504256331008	38.51821191429688
COG1721	Bacteria	protein (some members contain a von Willebrand factor type A (vWA) domain)	363.9175775175941	121.81023523486999
COG0714	Bacteria	ATPase family associated with various cellular activities (AAA)	656.0568341661665	912.5888417947469
COG0552	Bacteria	Involved in targeting and insertion of nascent membrane proteins into the cytoplasmic membrane. Acts as a receptor for the complex formed by the signal recognition particle (SRP) and the ribosome-nascent chain (RNC)	423.39665468065164	274.73360625559815
COG0210	Bacteria	DNA helicase	1251.1668210155028	938.2504262957515
COG4953	Bacteria	Penicillin-Binding Protein C-terminus Family	46.62253440278579	35.47272167094406
COG2261	Bacteria	Transglycosylase associated protein	94.50446704788138	142.537363837481
COG3004	Bacteria	Na( ) H( ) antiporter that extrudes sodium in exchange for external protons	71.6489851229396	69.29413849340813
COG0475	Bacteria	Psort location CytoplasmicMembrane, score 10.00	467.8444216075988	626.0646173436061
343WN	Bacteria	-	27.64499164463479	5.552506454779419
COG0178	Bacteria	The UvrABC repair system catalyzes the recognition and processing of DNA lesions. UvrA is an ATPase and a DNA-binding protein. A damage recognition complex composed of 2 UvrA and 2 UvrB subunits scans DNA for abnormalities. When the presence of a lesion has been verified by UvrB, the UvrA molecules dissociate	804.7303136129676	675.4621630523849
2ZAF5	Bacteria	Ion channel	24.68366809595061	14.8574818055286
COG0531	Bacteria	glutamate gamma-aminobutyrate antiporter	269.76201516346583	289.85682430439454
COG1123	Bacteria	Protein of unknown function (DUF4435)	35.11555730321495	66.10502174751522
COG1807	Bacteria	Dolichyl-phosphate-mannose-protein mannosyltransferase	120.8286046832826	187.6247952344077
COG0641	Bacteria	oxidizes both cysteine and serine residues to C-alpha-formylglycine in sulfatase enzyme protein substrates	935.8323985283913	911.4353250385047
COG0312	Bacteria	Putative modulator of DNA gyrase	294.9254115035634	66.97653667741783
COG1272	Bacteria	Haemolysin-III related	341.05612238633773	132.34293025015882
COG2608	Bacteria	mercury ion transmembrane transporter activity	468.2927362129542	500.1675109272605
COG2731	Bacteria	YhcH YjgK YiaL family protein	269.84280594612596	394.29182760525117
COG1785	Bacteria	Belongs to the alkaline phosphatase family	146.5141818788438	313.248683882187
COG0540	Bacteria	Belongs to the ATCase OTCase family	187.16150923769945	461.3687636780921
COG1781	Bacteria	Involved in allosteric regulation of aspartate carbamoyltransferase	145.01386560323746	212.53991343831666
31GH7	Bacteria	COG NOG27381 non supervised orthologous group	24.68366809595061	16.819542286557677
COG0016	Bacteria	Belongs to the class-II aminoacyl-tRNA synthetase family. Phe-tRNA synthetase alpha subunit type 1 subfamily	337.20251389408634	269.1132718324941
COG3064	Bacteria	BlaR1 peptidase M56	468.7175516801851	200.7362413177759
COG3682	Bacteria	Penicillinase repressor	207.62749242625722	395.47293107276255
COG0636	Bacteria	ATPase, subunit K	565.5220535122501	528.3607730105139
COG1269	Bacteria	Belongs to the V-ATPase 116 kDa subunit family	173.70116955919298	192.03918336912452
COG1394	Bacteria	ATP synthase subunit D	95.51372160050175	72.58713149509163
COG1156	Bacteria	the B subunit is part of the catalytic core of the ATP synthase complex	158.1343886056942	144.4232954238622
COG1155	Bacteria	Produces ATP from ADP in the presence of a proton gradient across the membrane. The V-type alpha chain is a catalytic subunit	179.47177659898534	203.57779060371797
COG1527	Bacteria	Protein of unknown function (DUF2764)	112.94487058755004	151.94925723395937
COG1390	Bacteria	subunit E	98.92952985042538	105.73618526122846
COG2807	Bacteria	Major Facilitator Superfamily	84.79085187476277	65.68367037682997
COG0076	Bacteria	Belongs to the group II decarboxylase family	55.38430820572679	55.0709849607757
COG2066	Bacteria	Belongs to the glutaminase family	49.615268462109455	56.74086121832695
COG0741	Bacteria	Transglycosylase SLT domain	284.6613280561327	476.50971057109837
COG0683	Bacteria	Lysin motif	576.5313096971794	559.9576626763468
COG0572	Bacteria	uridine kinase	599.8058644462433	696.993818581413
COG1797	Bacteria	Catalyzes the ATP-dependent amidation of the two carboxylate groups at positions a and c of cobyrinate, using either L-glutamine or ammonia as the nitrogen source	180.09950820451346	270.84715449805236
COG0413	Bacteria	Catalyzes the reversible reaction in which hydroxymethyl group from 5,10-methylenetetrahydrofolate is transferred onto alpha-ketoisovalerate to form ketopantoate	46.54547734559528	123.2509624503704
COG0847	Bacteria	Exonuclease	218.686241404676	354.7770656010885
COG0860	Bacteria	N-acetylmuramoyl-L-alanine amidase	592.1904727087071	1087.183827633515
COG0329	Bacteria	Catalyzes the condensation of (S)-aspartate-beta- semialdehyde (S)-ASA and pyruvate to 4-hydroxy- tetrahydrodipicolinate (HTPA)	541.4434789535535	662.9005004684325
33GHZ	Bacteria	-	29.312602595234598	7.553042856387408
COG0272	Bacteria	DNA ligase that catalyzes the formation of phosphodiester linkages between 5'-phosphoryl and 3'-hydroxyl groups in double-stranded DNA using NAD as a coenzyme and as the energy source for the reaction. It is essential for DNA replication and repair of damaged DNA	495.32521875991785	404.45010031625475
2Z7VS	Bacteria	Putative carbohydrate metabolism domain	57.528111208604614	25.205677176969708
COG2895	Bacteria	Belongs to the TRAFAC class translation factor GTPase superfamily. Classic translation factor GTPase family. CysN NodQ subfamily	39.046130296158275	73.20259368970186
COG0175	Bacteria	COG0175 3'-phosphoadenosine 5'-phosphosulfate sulfotransferase (PAPS reductase) FAD synthetase	115.54662612421379	302.1857156998239
COG0529	Bacteria	Catalyzes the synthesis of activated sulfate	34.994805114317685	48.39315072077553
COG1882	Bacteria	Pyruvate formate lyase-like	546.6562622375366	663.8428144832604
COG2115	Bacteria	Xylose isomerase	91.67074284488561	46.02109954911482
COG2006	Bacteria	Domain of unknown function (DUF362)	58.3920296094777	44.394965912228926
COG0348	Bacteria	4Fe-4S binding domain	279.0998929066845	421.1756840933866
COG0343	Bacteria	Catalyzes the base-exchange of a guanine (G) residue with the queuine precursor 7-aminomethyl-7-deazaguanine (PreQ1) at position 34 (anticodon wobble position) in tRNAs with GU(N) anticodons (tRNA-Asp, -Asn, -His and -Tyr). Catalysis occurs through a double-displacement mechanism. The nucleophile active site attacks the C1' of nucleotide 34 to detach the guanine base from the RNA, forming a covalent enzyme-RNA intermediate. The proton acceptor active site deprotonates the incoming PreQ1, allowing a nucleophilic attack on the C1' of the ribose to form the product. After dissociation, two additional enzymatic reactions on the tRNA convert PreQ1 to queuine (Q), resulting in the hypermodified nucleoside queuosine (7-(((4,5-cis-dihydroxy-2- cyclopenten-1-yl)amino)methyl)-7-deazaguanosine)	395.94640439299667	279.3094292347222
COG0795	Bacteria	Permease, YjgP YjgQ family	96.98899968718142	140.83251247144042
33W44	Bacteria	Domain of unknown function (DUF4925)	24.68366809595061	13.205504733054092
COG1359	Bacteria	Antibiotic biosynthesis monooxygenase	48.711841501008806	28.52150365488146
COG1875	Bacteria	Phosphate starvation protein PhoH	38.600609774603235	23.01565176715903
COG2133	Bacteria	Domain of Unknown Function (DUF1080)	115.05978805050907	16.82987627288504
2ZAI8	Bacteria	-	31.337920951424113	0
COG1186	Bacteria	Peptide chain release factor 2 directs the termination of translation in response to the peptide chain termination codons UGA and UAA	500.1257778486411	365.018832440124
COG1695	Bacteria	Transcriptional regulator	279.28637373417934	300.5242509877344
COG1983	Bacteria	PspC domain	203.81913182518113	107.67992338382466
COG0537	Bacteria	HIT family hydrolase	440.6882877188309	311.10241102040015
COG0782	Bacteria	Necessary for efficient RNA polymerase transcription elongation past template-encoded arresting sites. The arresting sites in DNA have the property of trapping a certain fraction of elongating RNA polymerases that pass through, resulting in locked ternary complexes. Cleavage of the nascent transcript by cleavage factors such as GreA or GreB allows the resumption of elongation from the new 3'terminus. GreA releases sequences of 2 to 3 nucleotides	397.7949450812924	388.4916564816502
COG1185	Bacteria	Involved in mRNA degradation. Catalyzes the phosphorolysis of single-stranded polyribonucleotides processively in the 3'- to 5'-direction	397.470509160791	383.9605291496141
COG1838	Bacteria	Catalyzes the reversible hydration of fumarate to (S)- malate	181.648098306364	403.43467028131676
COG5640	Bacteria	Trypsin-like peptidase domain	68.11222696650906	0
COG3063	Bacteria	Tetratricopeptide repeat protein	112.90245763016058	75.30143142616701
COG0184	Bacteria	Forms an intersubunit bridge (bridge B4) with the 23S rRNA of the 50S subunit in the ribosome	431.0473454978231	276.86520065106686
COG0499	Bacteria	May play a key role in the regulation of the intracellular concentration of adenosylhomocysteine	86.20290136035395	67.76738039460737
COG4485	Bacteria	membrane	443.14923372375415	452.3019111500203
COG2865	Bacteria	Putative ATP-dependent DNA helicase recG C-terminal	813.5493106091172	394.29031628309184
COG3306	Bacteria	glycosyltransferase involved in LPS biosynthesis	39.52388817253976	0
COG0399	Bacteria	DegT/DnrJ/EryC1/StrS aminotransferase family	374.06999246962056	233.34596666884104
2Z8JE	Bacteria	Glycosyltransferase family 10 (fucosyltransferase) C-term	31.337920951424113	0
2ZV9S	Bacteria	-	31.337920951424113	15.519323279966939
COG0073	Bacteria	Is required not only for elongation of protein synthesis but also for the initiation of all mRNA translation through initiator tRNA(fMet) aminoacylation	244.98357307723182	373.8536876409101
COG1429	Bacteria	COG NOG08812 non supervised orthologous group	135.2980586075901	233.01908514533676
3422M	Bacteria	Domain of unknown function (DUF4493)	31.337920951424113	0
33Q5F	Bacteria	Psort location OuterMembrane, score	46.96902977543905	12.722182378022744
2ZBDE	Bacteria	Putative carbohydrate metabolism domain	39.39094842729286	21.43422260167984
COG3170	Bacteria	Tfp pilus assembly protein FimV	137.9255315101904	63.43637860517212
33V2T	Bacteria	Domain of unknown function (DUF4493)	31.337920951424113	0
302V4	Bacteria	Domain of unknown function (DUF4493)	31.337920951424113	0
30YTF	Bacteria	Domain of unknown function (DUF4493)	31.337920951424113	0
COG0606	Bacteria	magnesium chelatase	255.54797908518668	302.24158608596383
COG1866	Bacteria	Involved in the gluconeogenesis. Catalyzes the conversion of oxaloacetate (OAA) to phosphoenolpyruvate (PEP) through direct phosphoryl transfer between the nucleoside triphosphate and OAA	272.73558901554935	326.07614739481477
COG1013	Bacteria	ferredoxin oxidoreductase subunit beta	127.49821363710586	160.53956905351953
COG0674	Bacteria	2-oxoacid acceptor oxidoreductase, alpha subunit	680.0797538398787	818.20272841664
COG0686	Bacteria	Alanine dehydrogenase/PNT, N-terminal domain	66.27780841258881	56.947151650598904
COG0328	Bacteria	Ribonuclease H	220.79357585907945	304.9096010471174
31B63	Bacteria	-	40.50090960253936	0
COG3642	Bacteria	Lipopolysaccharide kinase (Kdo/WaaP) family	31.337920951424113	21.323562808444322
COG0859	Bacteria	glycosyl transferase family	67.68941701275172	115.71876027116137
32Y7Q	Bacteria	Protein of unknown function (Porph_ging)	34.966994094623615	12.475820320464768
COG1404	Bacteria	Peptidase, S8 S53 family	889.0996081748553	1017.6305513599563
COG0111	Bacteria	Catalyzes the oxidation of erythronate-4-phosphate to 3- hydroxy-2-oxo-4-phosphonooxybutanoate	498.1958489926508	922.7673448079548
COG0299	Bacteria	Catalyzes the transfer of a formyl group from 10- formyltetrahydrofolate to 5-phospho-ribosyl-glycinamide (GAR), producing 5-phospho-ribosyl-N-formylglycinamide (FGAR) and tetrahydrofolate	174.50825035759814	288.3792554794169
COG0304	Bacteria	Catalyzes the condensation reaction of fatty acid synthesis by the addition to an acyl acceptor of two carbons from malonyl-ACP	303.66130454062613	486.84304807467
COG0571	Bacteria	Digests double-stranded RNA. Involved in the processing of primary rRNA transcript to yield the immediate precursors to the large and small rRNAs (23S and 16S). Processes some mRNAs, and tRNAs when they are encoded in the rRNA operon. Processes pre- crRNA and tracrRNA of type II CRISPR loci if present in the organism	725.126520755916	284.6101187059871
COG1541	Bacteria	GH3 auxin-responsive promoter	207.28951353952917	208.25432080516944
COG5000	Bacteria	Histidine kinase-like ATPases	213.83079971650324	173.22333649330884
COG2050	Bacteria	Thioesterase superfamily	175.46105979882677	498.7785398380819
2ZAWY	Bacteria	Protein of unknown function (DUF3108)	34.7287491592472	24.004652967507315
COG4704	Bacteria	Bacterial Ig-like domain	101.14965249465322	102.90921871350405
32NM7	Bacteria	-	31.337920951424113	0
2Z7XW	Bacteria	Protein of unknown function (DUF2851)	54.583211102146095	43.10266176801715
COG0289	Bacteria	Belongs to the DapB family	217.87096098374602	252.32806095189002
COG0224	Bacteria	WbqC-like protein	550.386934170724	591.028359240689
COG0075	Bacteria	Belongs to the class-V pyridoxal-phosphate-dependent aminotransferase family. PhnW subfamily	66.6193492524378	80.14877554100477
COG0637	Bacteria	Belongs to the HAD-like hydrolase superfamily. PhnX family	559.2918676676303	1033.0701685870706
2Z7UP	Bacteria	Psort location CytoplasmicMembrane, score 10.00	33.46939185892728	36.75839733359713
2Z8D5	Bacteria	-	34.30517888053594	32.3131630048814
COG0306	Bacteria	Phosphate transporter	153.68826938374875	220.75137093951076
347QT	Bacteria	Fimbrillin-A associated anchor proteins Mfa1 and Mfa2	24.36319066784291	2.0867500743677336
COG3832	Bacteria	Psort location Cytoplasmic, score 8.96	26.746504771636367	15.220277597158276
COG0108	Bacteria	Catalyzes the conversion of D-ribulose 5-phosphate to formate and 3,4-dihydroxy-2-butanone 4-phosphate	148.54259406940244	335.6638748753618
COG0436	Bacteria	Aminotransferase	1104.9442193402788	1570.990907771412
COG0264	Bacteria	Associates with the EF-Tu.GDP complex and induces the exchange of GDP to GTP. It remains bound to the aminoacyl-tRNA.EF- Tu.GTP complex up to the GTP hydrolysis stage on the ribosome	401.0096466448634	249.12700041181049
COG0052	Bacteria	Belongs to the universal ribosomal protein uS2 family	372.6790309609647	257.3359518064857
33S7W	Bacteria	-	340.646657681197	70.30617408081284
COG4121	Bacteria	S-adenosyl-L-methionine-dependent methyltransferase	21.687295903803417	46.29633052296811
COG2816	Bacteria	NADH pyrophosphatase zinc ribbon domain	158.35396003748556	210.54000198756717
COG2226	Bacteria	ubiE/COQ5 methyltransferase family	1095.949431056177	1016.5096792253842
2ZH8M	Bacteria	-	21.687295903803417	0
2ZQCH	Bacteria	-	21.687295903803417	12.390078591179842
COG2866	Bacteria	Zinc carboxypeptidase	394.8129151902215	80.17088865342829
COG3193	Bacteria	Pfam:SusD	67.08850443470408	99.42154902845718
